Date,Open,High,Low,Close,Adj Close,Volume
2020-02-28,0.658060,0.658490,0.644300,0.658020,0.658020,0
2020-03-02,0.651538,0.656900,0.648940,0.651631,0.651631,0
2020-03-03,0.654580,0.664500,0.650999,0.654750,0.654750,0
2020-03-04,0.658650,0.662900,0.658650,0.658220,0.658220,0
2020-03-05,0.662630,0.663702,0.658618,0.662690,0.662690,0
2020-03-06,0.661831,0.665823,0.658610,0.661551,0.661551,0
2020-03-09,0.661424,0.668350,0.633590,0.661358,0.661358,0
2020-03-10,0.660060,0.660500,0.647429,0.659800,0.659800,0
2020-03-11,0.649570,0.653950,0.648959,0.649910,0.649910,0
2020-03-12,0.647850,0.648100,0.626999,0.647940,0.647940,0
2020-03-13,0.628210,0.632310,0.615400,0.627412,0.627412,0
2020-03-16,0.617871,0.618912,0.608140,0.617768,0.617768,0
2020-03-17,0.610450,0.614800,0.596080,0.609942,0.609942,0
2020-03-18,0.598830,0.602678,0.581791,0.599220,0.599220,0
2020-03-19,0.579950,0.596240,0.552000,0.580980,0.580980,0
2020-03-20,0.574640,0.597850,0.571177,0.574290,0.574290,0
2020-03-23,0.575526,0.584020,0.570210,0.575331,0.575331,0
2020-03-24,0.587630,0.597410,0.586889,0.587660,0.587660,0
2020-03-25,0.596840,0.606999,0.593450,0.597550,0.597550,0
2020-03-26,0.590440,0.606550,0.587150,0.590810,0.590810,0
2020-03-27,0.607510,0.613098,0.602500,0.607910,0.607910,0
2020-03-30,0.617219,0.618230,0.611700,0.618058,0.618058,0
2020-03-31,0.616432,0.620970,0.608170,0.616899,0.616899,0
2020-04-01,0.614010,0.614640,0.604120,0.613700,0.613700,0
2020-04-02,0.608760,0.611900,0.601160,0.609140,0.609140,0
2020-04-03,0.606890,0.607600,0.598170,0.606322,0.606322,0
2020-04-06,0.599628,0.610560,0.599240,0.599470,0.599470,0
2020-04-07,0.611830,0.620848,0.609850,0.611760,0.611760,0
2020-04-08,0.615450,0.623679,0.611741,0.615220,0.615220,0
2020-04-09,0.623519,0.631300,0.619660,0.623531,0.623531,0
2020-04-10,0.633500,0.637000,0.631460,0.633260,0.633260,0
2020-04-13,0.633931,0.638529,0.633210,0.633521,0.633521,0
2020-04-14,0.639810,0.643261,0.637662,0.640111,0.640111,0
2020-04-15,0.643376,0.643459,0.628540,0.643430,0.643430,0
2020-04-16,0.630900,0.633200,0.626649,0.630890,0.630890,0
2020-04-17,0.636173,0.638244,0.631680,0.635860,0.635860,0
2020-04-20,0.634011,0.639341,0.633730,0.634019,0.634019,0
2020-04-21,0.634650,0.634650,0.625520,0.634570,0.634570,0
2020-04-22,0.629680,0.635300,0.628170,0.629400,0.629400,0
2020-04-23,0.629800,0.640500,0.628870,0.629900,0.629900,0
2020-04-24,0.637841,0.638410,0.633860,0.637680,0.637680,0
2020-04-27,0.639713,0.647100,0.639509,0.639754,0.639754,0
2020-04-28,0.645300,0.651292,0.643520,0.644912,0.644912,0
2020-04-29,0.650288,0.654700,0.650130,0.650270,0.650270,0
2020-04-30,0.655500,0.656960,0.649170,0.655501,0.655501,0
2020-05-01,0.649590,0.649590,0.641860,0.649550,0.649550,0
2020-05-04,0.638100,0.643161,0.637328,0.637682,0.637682,0
2020-05-05,0.642810,0.647420,0.641820,0.642612,0.642612,0
2020-05-06,0.643340,0.645300,0.640810,0.643600,0.643600,0
2020-05-07,0.639918,0.650001,0.639610,0.639076,0.639076,0
2020-05-08,0.650380,0.654800,0.649958,0.650330,0.650330,0
2020-05-11,0.653531,0.656100,0.646510,0.653710,0.653710,0
2020-05-12,0.648559,0.653600,0.643320,0.648466,0.648466,0
2020-05-13,0.645732,0.652190,0.645360,0.645530,0.645530,0
2020-05-14,0.645140,0.646000,0.640530,0.645494,0.645494,0
2020-05-15,0.647119,0.647400,0.640361,0.647124,0.647124,0
2020-05-18,0.642690,0.651661,0.642096,0.642579,0.642579,0
2020-05-19,0.652390,0.657080,0.651100,0.652600,0.652600,0
2020-05-20,0.654310,0.661560,0.652840,0.654009,0.654009,0
2020-05-21,0.658940,0.659805,0.654920,0.659230,0.659230,0
2020-05-22,0.656930,0.657400,0.650760,0.656689,0.656689,0
2020-05-25,0.654793,0.655000,0.652100,0.654579,0.654579,0
2020-05-26,0.654860,0.665921,0.654380,0.654740,0.654740,0
2020-05-27,0.664673,0.668000,0.657300,0.664670,0.664670,0
2020-05-28,0.662050,0.666800,0.658940,0.662081,0.662081,0
2020-05-29,0.663381,0.668360,0.662060,0.663350,0.663350,0
2020-06-01,0.665921,0.678720,0.665921,0.665978,0.665978,0
2020-06-02,0.678800,0.689332,0.677570,0.678600,0.678600,0
2020-06-03,0.691530,0.698300,0.685758,0.691420,0.691420,0
2020-06-04,0.692914,0.698800,0.688390,0.692905,0.692905,0
2020-06-05,0.694200,0.701330,0.693200,0.693990,0.693990,0
2020-06-08,0.699300,0.700400,0.696280,0.700240,0.700240,0
2020-06-09,0.702300,0.704077,0.690030,0.702449,0.702449,0
2020-06-10,0.694010,0.702100,0.693300,0.694300,0.694300,0
2020-06-11,0.696770,0.699600,0.688140,0.696830,0.696830,0
2020-06-12,0.683030,0.691110,0.680100,0.683088,0.683088,0
2020-06-15,0.682920,0.686930,0.678000,0.682501,0.682501,0
2020-06-16,0.696140,0.697228,0.683790,0.695820,0.695820,0
2020-06-17,0.689470,0.692050,0.685260,0.689532,0.689532,0
2020-06-18,0.687711,0.690300,0.683860,0.687570,0.687570,0
2020-06-19,0.685700,0.691100,0.684220,0.685721,0.685721,0
2020-06-22,0.682179,0.691050,0.682031,0.682291,0.682291,0
2020-06-23,0.692929,0.697496,0.686420,0.693160,0.693160,0
2020-06-24,0.694440,0.696400,0.686600,0.694030,0.694030,0
2020-06-25,0.685860,0.689000,0.684820,0.685678,0.685678,0
2020-06-26,0.688840,0.689800,0.684230,0.688819,0.688819,0
2020-06-29,0.686210,0.688980,0.684190,0.686191,0.686191,0
2020-06-30,0.687040,0.691118,0.683401,0.687191,0.687191,0
2020-07-01,0.690050,0.694372,0.687860,0.690200,0.690200,0
2020-07-02,0.691400,0.694970,0.690430,0.691324,0.691324,0
2020-07-03,0.692010,0.694589,0.691420,0.691920,0.691920,0
2020-07-06,0.695300,0.698750,0.694800,0.694840,0.694840,0
2020-07-07,0.697100,0.699790,0.692360,0.697700,0.697700,0
2020-07-08,0.693852,0.697462,0.692930,0.694232,0.694232,0
2020-07-09,0.698529,0.700200,0.695159,0.698910,0.698910,0
2020-07-10,0.696282,0.696770,0.692470,0.695894,0.695894,0
2020-07-13,0.694900,0.699200,0.694112,0.695028,0.695028,0
2020-07-14,0.693670,0.697399,0.692260,0.694011,0.694011,0
2020-07-15,0.698810,0.703720,0.698758,0.698900,0.698900,0
2020-07-16,0.700700,0.701213,0.697180,0.700918,0.700918,0
2020-07-17,0.697640,0.699500,0.697525,0.697800,0.697800,0
